PK_UKBaseS,Technology,LAC,CellId,Easting,Northing,CitiLogik_Easting,CitiLogik_Northing
58915,3G,310,65177,537856,174356,537889,174226
58969,3G,310,64614,533665,172125,533713,172039
58977,3G,189,63703,530839,169253,530704,169439
59386,3G,189,64018,524991,167366,525206,167436
59431,3G,183,62606,554120,173974,554264,173943
59441,3G,175,56261,549205,175210,549211,175373
59460,3G,189,64017,524991,167366,524894,167180
59525,3G,175,51117,551356,177956,551271,177976
59550,3G,175,31723,551356,177956,551188,177774
59584,3G,183,42861,554120,173974,554039,174106
59602,3G,175,51119,551356,177956,551545,178023
59764,3G,175,65433,549536,183393,549371,183471
59953,3G,282,62000,532866,181438,532923,181438
60042,3G,282,62100,532303,181020,532302,181016
60505,3G,282,65300,532321,181123,532305,181126
60598,3G,183,60770,557466,174384,557627,174402
60705,3G,901,64892,565230,105190,564904,104840
60710,3G,183,60740,557466,174384,557215,174300
60714,3G,281,60500,529782,180881,529783,180859
60942,3G,964,64802,575825,155307,575651,155465
60973,3G,964,64869,575825,155307,576095,155233
61006,3G,284,64000,530101,180192,530105,180193
61285,3G,175,45309,546190,172620,545951,172282
61289,3G,964,65274,573516,154509,573255,154730
61351,3G,175,62706,546190,172620,546383,172530
61364,3G,964,65237,575799,158061,575980,157865
61397,3G,175,45308,546190,172620,546159,172891
61483,3G,901,63845,539040,117740,540898,116655
61548,3G,881,63878,634900,170620,634842,170403
61790,3G,901,64516,561063,104470,561248,104460
61896,3G,282,61300,532779,181770,532777,181769
61922,3G,964,64703,580160,157190,579907,157072
61928,3G,881,65412,607437,159280,608936,161116
61979,3G,943,65341,574572,107777,574756,107641
62030,3G,881,65423,607437,159280,606256,158905
62042,3G,964,64432,592392,140305,592374,142040
62125,3G,881,64367,633907,170004,633844,169684
62184,3G,911,65438,527250,106644,527257,106564
62197,3G,964,64680,580160,157190,579633,158211
62269,3G,964,65337,575927,155787,576101,155769
62308,3G,284,63300,533258,180237,533223,180148
62317,3G,965,65281,581536,166782,581466,166587
62347,3G,965,65286,581536,166782,581698,166824
62367,3G,965,65282,581536,166782,581730,166676
62389,3G,964,65323,575927,155787,575763,155925
62390,3G,911,65529,525185,105645,525633,105847
62511,3G,964,65202,578045,157265,578010,157394
62567,3G,964,65196,578045,157265,577828,157230
63258,3G,282,64400,533044,181392,533039,181394
64039,3G,965,65168,575632,162597,575139,162695
64357,3G,284,64800,533171,182004,533202,181993
64463,3G,943,65363,557066,137663,555906,135795
64516,3G,943,65356,557066,137663,557116,137739
64528,3G,901,64486,547553,122015,547442,121601
64602,3G,964,65315,572889,156855,572895,156804
64630,3G,964,65329,572889,156855,572912,156725
64692,3G,301,53831,529474,180240,529542,180251
64732,3G,943,65391,557581,143201,557751,142809
64830,3G,964,65298,576320,155659,576345,155727
64929,3G,964,65297,576320,155659,576209,155573
64955,3G,189,65432,527925,167580,528189,167784
64994,3G,943,65518,579567,111072,579046,110950
65003,3G,964,65296,576320,155659,576343,155624
65060,3G,964,65213,577941,156280,577806,156284
65101,3G,964,65223,577941,156280,578102,156006
65215,3G,7,41533,630946,141013,631069,141288
65288,3G,890,64722,632290,142860,632272,143152
65427,3G,881,63402,615420,159190,615539,159242
65442,3G,881,64275,614392,160023,614453,159610
65556,3G,943,65428,558909,140330,558758,140428
65627,3G,943,65429,558909,140330,558940,140216
65710,3G,284,64900,531593,180904,531630,180888
65722,3GFEMTO,400,65519,571283,160314,571220,160315
65782,3G,881,63772,619235,167081,619488,167104
65828,3G,881,63771,619235,167081,618918,167155
65852,3G,890,65115,599559,142961,599401,142796
65951,3G,890,65081,601023,144319,600729,144283
65978,3G,943,65312,577552,108648,577721,108761
66030,3G,943,65292,582710,110630,582758,110513
66074,3G,943,65315,577552,108648,577395,108556
66102,3G,943,65291,582710,110630,582504,110582
66245,3G,183,36040,539904,169696,539899,169827
66285,3GFEMTO,550,65176,528852,179311,528852,179334
66382,3G,183,36044,539904,169696,540066,169714
66383,3G,183,65507,547462,163377,547247,163529
66767,3G,7,35926,633312,159623,633403,161272
66864,3G,311,33041,534646,185888,534698,185789
67003,3GFEMTO,550,65309,531084,181584,531086,181612
67034,3GFEMTO,550,65305,528636,177665,528584,177657
67073,3G,7,56285,579571,167957,579273,167737
67371,3GFEMTO,550,65193,526343,176481,526242,176501
67400,3G,901,64896,565230,105190,565493,105331
67488,3G,175,65462,546585,175932,546605,176085
67508,3G,175,44147,551890,176130,551943,176106
67563,3G,175,65460,546585,175932,546332,175870
67601,3G,901,64852,555070,105075,556462,104763
67655,3G,964,64186,588897,150816,589081,151409
67796,3G,189,65277,527787,171031,527865,171147
67878,3G,964,65370,575799,158061,575589,158374
68005,3GFEMTO,550,65140,531093,104966,531158,105002
68066,3G,964,65279,575799,158061,575941,157883
68117,3G,175,34644,549620,184560,549800,184449
68124,3GFEMTO,399,65431,531783,182271,531804,182294
68185,3G,175,65466,550315,184991,550276,185159
68212,3G,175,65472,550315,184991,549969,185137
68239,3G,175,65468,550315,184991,550298,184952
68262,3G,175,34645,549620,184560,549539,184916
68622,3G,881,64359,633907,170004,634066,170139
68642,3G,175,55200,549055,183563,549265,183517
68699,3GFEMTO,550,65088,527965,150437,527944,150475
68874,3G,890,64766,601875,143385,602019,143225
68904,3G,890,64776,601875,143385,601771,143648
68993,3G,890,64775,601875,143385,601937,143275
69096,3GFEMTO,550,65057,529234,141512,529202,141604
69121,3G,175,34030,550669,182949,550857,182875
69392,3G,890,63533,630255,139749,630454,139812
69493,3G,175,61913,546471,171685,546326,171785
69547,3G,943,65412,584238,112160,583920,112013
69740,3G,881,64204,616400,167300,616603,167267
69785,3G,881,64208,616400,167300,616415,167418
69791,3G,310,64384,524606,178220,524553,178125
69793,3G,943,65414,584238,112160,584948,114974
69805,3GFEMTO,399,65256,532969,182077,532969,182092
69935,3G,183,65529,563680,174130,563999,174227
69986,3G,183,38627,565184,171861,564798,171650
69991,3G,175,64041,556433,178323,556568,178227
70035,3G,183,65527,563680,174130,563330,173753
70045,3G,183,35008,565204,172938,564741,172845
70056,3G,890,65098,598900,144149,598970,143821
70069,3G,183,35007,565204,172938,565371,172980
70109,3GFEMTO,550,65026,527864,150550,527953,150541
70117,3G,175,64654,549024,182799,548921,182945
70148,3G,175,55426,549024,182799,549182,182821
70164,3G,175,55425,549024,182799,548955,182391
70286,3G,6,65344,529673,138630,529603,138637
70494,3G,7,28304,615410,157381,615380,157458
70506,3G,7,28305,615410,157381,615288,157182
70527,3G,890,64142,600608,142787,600756,142920
70555,3GFEMTO,400,65375,621247,162328,621276,162385
70571,3G,7,28306,615410,157381,615619,157218
70580,3GFEMTO,399,65166,533326,180134,533348,180036
70726,3GFEMTO,399,65097,530611,180688,530600,180709
70746,3GFEMTO,399,65105,532165,181472,532144,181474
70766,3GFEMTO,399,65137,531474,180530,531491,180495
70853,3GFEMTO,399,65090,532763,181718,532726,181732
70929,3GFEMTO,399,65122,532090,181436,532086,181402
71173,3G,881,64087,638185,170080,637897,169956
71207,3G,965,63553,572083,167685,572195,167749
71209,4G,12297,229150,522901,178947,522852,178954
71212,3G,881,64028,638000,164660,637631,164181
71306,3G,183,55946,564273,170089,564015,170505
71956,3G,881,64020,636720,170835,636567,170131
